num_components,auc_score
1,0.5586664562464747
2,0.5856736346100092
3,0.59470097841817
4,0.5965828020173475
5,0.5970733139042593
6,0.5967372253038411
7,0.5981780538484218
8,0.5980909015086324
9,0.5985673369191358
10,0.598646732104117
11,0.5987144620857708
12,0.5973072181098882
13,0.5974031528420772
14,0.5985744707151992
15,0.5976614502006451
16,0.5988557698328318
17,0.5988327269928183
18,0.5950758849429363
19,0.5964160526600892
20,0.5998343394664974
21,0.6009713208109456
22,0.6038733093975006
23,0.6081350345218574
24,0.6039293277364934
25,0.6120222299944995
26,0.6117700822753525
27,0.6141816893623547
28,0.6142641602601105
29,0.6156306179983595
30,0.6126316962339473
31,0.6134010352370517
32,0.6161865986286136
33,0.6146078899170033
34,0.6150380949710946
35,0.6152953974562505
36,0.6156791363850063
37,0.615249084937941
38,0.6154125192412447
39,0.6135651750609977
40,0.6169131187801836
41,0.6150275586007946
42,0.6153795633896758
43,0.6157139694573219
44,0.6161184203287797
45,0.6136150526912109
46,0.6145059859443427
47,0.6149584818784718
48,0.615368367938067
49,0.6156740995034592
50,0.6177467798323206
51,0.6162850732351146
52,0.6151935327784104
53,0.6144045285037342
54,0.615913194197661
55,0.6156438335609719
56,0.6155031902536041
57,0.6131095730499145
58,0.6150072128143753
59,0.6152907803148324
60,0.6147529003078399
61,0.61582987131675
62,0.6152325507491179
63,0.6155837464219208
64,0.615807887650764
65,0.6143578998407316
66,0.6155595551014693
67,0.6169321749820366
68,0.6154756856653266
69,0.6154325167326633
70,0.6146748786554508
71,0.6144980108818932
72,0.6152846735424887
73,0.6149232897943864
74,0.616651743922713
75,0.6140076776078022
76,0.6153237397386577
77,0.6136842776621747
78,0.6166288904122895
79,0.6143618561147127
80,0.6139356144791155
81,0.6134931119323109
82,0.6127845959530793
83,0.6143526629128253
84,0.6139427429167943
85,0.6151011953084328
86,0.6160144444473976
87,0.6167013375585411
88,0.6146860455290081
89,0.6146865349281371
90,0.6187445646332497
91,0.6185394813923879
92,0.6146372485063609
93,0.6172620621453161
94,0.6155795329454777
95,0.6156894226973572
96,0.6158869684771806
97,0.6172362293730413
98,0.6162494828444387
99,0.6154726474612445
100,0.6157465805861467
101,0.6143482529622794
102,0.6149847254602345
103,0.6172316961796489
104,0.6139691865449162
105,0.6163363922707916
106,0.6150789848041642
107,0.6175429879621531
108,0.6181343589367239
109,0.6167509579862922
110,0.6177666094276877
111,0.6165194900595392
112,0.6171294796345519
113,0.6182880231187289
114,0.6184785494146943
115,0.6168724004154219
116,0.6186786779359068
117,0.6177397710652317
118,0.6149360070272285
119,0.6158622591795488
120,0.6182657268803065
121,0.6154617038537131
122,0.6163719237192368
123,0.6181770474008991
124,0.6165721183271928
125,0.6167456656884114
126,0.6170391604894494
127,0.6176462154558161
128,0.6178670416307048
129,0.6180213720385317
130,0.6178511575925495
131,0.6168645128732547
132,0.6173011051218183
133,0.6172781926691641
